CF,Nome,Cognome,Email,Nascita,Societa
CF091,Stefano,Ferrario,cf091@email.com,1996-02-14,SocietaG
CF092,Carola,Bini,cf092@email.com,2001-09-21,SocietaA
CF093,Danilo,Santagostino,cf093@email.com,2004-05-07,SocietaB
CF094,Asia,Lissoni,cf094@email.com,2002-03-25,SocietaC
CF095,Nicolò,Bassani,cf095@email.com,1998-04-13,SocietaD
CF096,Arianna,Feltrin,cf096@email.com,2005-12-02,SocietaE
CF097,Kevin,Oldani,cf097@email.com,2003-07-27,SocietaF
CF098,Debora,Zucchi,cf098@email.com,1997-06-05,SocietaG
CF099,Elia,Bassoli,cf099@email.com,2000-01-10,SocietaA
CF100,Serena,Rigamonti,cf100@email.com,2001-10-19,SocietaC
